,q,p,sx,sy,sz,sxy,ea,eps_v,gamxy,gams,eps_1,eps_2,eps_3,phase,s1,s2,s3,sigmav_0,ru,ru_max,alpha_inxx,alpha_inyy,alpha_inxy,alpha_xx,alpha_yy,alpha_xy,Md,Mb,xi_r,hp
415,15.2054535248891,1.3028180532033,6.30225419725952,6.3196330352026,-8.71343307285223,1.35076465802225,3.6191433684297696,-0.436678947257867,0.0678758222485613,-0.0391882259731934,0.0361914336842977,-6.75970427239207e-24,-6.75970427239207e-24,0,7.66173622331922,4.9601510091429,-8.71343307285223,-99.9999999868428,0.936803713015371,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,0.00135213828423105,-0.00135213828423105,-0.219036068453616,1.02422499643087,1.48202598836213,-0.615789826168096,0.475115009509238
416,13.5258917288499,-1.96456299159768,2.53753576857766,2.54424185155387,-10.9754665949246,-0.293172246239999,3.38925231293103,-0.437226098387551,0.0632619414234354,-0.0365243994182375,0.0338925231293103,-6.50369449399434e-19,-6.50369449399434e-19,0,2.83408023022098,2.24769738991055,-10.9754665949246,-99.9999999868428,0.974557534683555,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,0.00131062363819097,-0.00131062363819097,0.110417507653674,1.02233958230873,1.4957419948991,-0.634214417015911,0.0513159978968112
417,13.657972576976,-2.23470938525468,2.22881666538816,2.229546639896,-11.1624914610482,-1.549548937578,2.1858353973192397,-0.437320291207527,0.0390998241501575,-0.0225744544158363,0.0218583539731924,2.85755760276176e-23,2.85755760276176e-23,0,3.7787306332054,0.679632672078761,-11.1624914610482,-99.9999999868428,0.977704500749652,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,0.000161033173016942,-0.000161033173016942,0.690176644706228,1.02210164056787,1.49748411944175,-0.636542637832185,-0.00490794426625111
418,15.7466790895357,0.0499615099668215,4.86252535317222,4.86815498723409,-9.58079581050584,-3.61787386031098,0.6049806630545049,-0.436311040896314,-0.00638951757613014,-0.00369013163223648,0.00604980663054505,4.33712308311359e-19,4.33712308311359e-19,0,8.48321512546333,1.24746521494298,-9.58079581050584,-99.9999999868428,0.951318444744266,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,0.000568932357343143,-0.000568932357343143,0.738600329107914,1.02365555775315,1.48615197149277,-0.621350023858727,-0.10798731118041
419,18.9163924967082,2.90413882712382,8.16228565038285,8.15495743892947,-7.60482660794087,-6.03720595289222,1.26570001427737,-0.43523111198373,-0.0205051078244011,-0.0118390434424832,0.0126570001427737,-2.16836518066818e-19,-2.16836518066818e-19,0,14.195828609459,2.12141447985332,-7.60482660794086,-99.9999999868428,0.918450410236432,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,-0.00045269587807544,0.00045269587807544,0.73497826494893,1.02485238732392,1.47749501566124,-0.60966578741222,-0.141303874547943
420,20.5745439928032,4.25917621705408,9.72732834692016,9.71692438705911,-6.66672408281702,-7.1813963420284,1.4869244477152601,-0.434845910626398,-0.0250151119989815,-0.0144428396446015,0.0148692444771526,7.38126981696477e-23,7.38126981696477e-23,0,16.9035245930938,2.54072814088543,-6.66672408281702,-99.9999999868428,0.902830751711886,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,-0.000538645216816184,0.000538645216816184,0.733664545559393,1.02529000462619,1.47434460836272,-0.605396839354348,-0.150040406615998
421,24.1835434773302,7.04796931592716,12.9477913712703,12.9321379889799,-4.73602141246871,-9.52895774299029,1.8819557246242398,-0.43411353311334605,-0.0330139424085233,-0.019060906021077,0.0188195572462424,-6.24127757309375e-23,-6.24127757309375e-23,0,22.4689256373747,3.41100372287547,-4.73602141246871,-99.9999999868428,0.870678586501135,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,-0.000607528997784696,0.000607528997784696,0.731397314819935,1.02605866612484,1.46883074118123,-0.597903044726236,-0.162010775834979
422,26.0506359959998,8.43650121495374,14.5514110224746,14.5328225297061,-3.77472990731946,-10.6946794283187,2.04650412176667,-0.43377968563776403,-0.036334394748211,-0.0209779543914413,0.0204650412176667,1.50364320754858e-22,1.50364320754858e-22,0,25.2368002430059,3.84743330917479,-3.77472990731946,-99.9999999868428,0.854671785680201,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,-0.000642681184720915,0.000642681184720915,0.730427372234025,1.02638622154649,1.46648765089566,-0.594710095572912,-0.165457223793753
423,29.6810032248373,11.0722106262994,17.5948839358953,17.57175566065,-1.95000771764703,-12.9023339930003,2.33543064010448,-0.433215939645151,-0.0421545266926269,-0.0243381866778378,0.0233543064010448,-2.16804524335037e-19,-2.16804524335037e-19,0,30.4856589736396,4.68098062290571,-1.95000771764703,-99.9999999868428,0.824282429133203,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,-0.000658851101403194,0.000658851101403194,0.728782247881074,1.02694844426414,1.4624787058857,-0.589235162262951,-0.169701752082062
424,31.7143330530359,12.5224382555792,19.2698147953554,19.2435040952218,-0.946004123839658,-14.114422724313,2.47837941565417,-0.43291734407243004,-0.0450309040540232,-0.0259988565725743,0.0247837941565417,1.84825547080141e-23,1.84825547080141e-23,0,33.3710883003234,5.14223059025386,-0.946004123839656,-99.9999999868428,0.807564998278575,0.9789275525731,-0.000746148065433637,0.000746148065433637,-0.712733328258863,-0.000684219977537538,0.000684219977537538,0.727962743619948,1.02722605099704,1.4605026609945,-0.586530999083759,-0.171054073617992
